y1,x1,K,midpoint_offset,dt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
36.00,2030,-9.50,36,50,35.850000,35.900000,35.950000,36.000000,34.848602,33.966470,32.462411,29.999478,26.221396,20.969708,14.588173,7.988084,2.207597,-2.162689,-5.113376,-6.956535,-8.052507,-8.685186
36.00,2030,-10.00,35,50,35.850000,35.900000,35.950000,36.000000,34.694579,33.700000,32.015225,29.285943,25.169190,19.583056,13.000000,6.416944,0.830810,-3.285943,-6.015225,-7.700000,-8.694579,-9.266298
36.00,2030,-10.50,34,50,35.850000,35.900000,35.950000,36.000000,34.520694,33.400635,31.516967,28.501429,24.035093,18.127562,11.382416,4.860628,-0.506482,-4.367598,-6.884662,-8.421777,-9.323297,-9.839557
36.00,2030,-11.00,33,50,35.850000,35.900000,35.950000,36.000000,34.324557,33.064795,30.963083,27.641915,22.818754,16.608999,9.744955,3.326604,-1.801665,-5.408401,-7.723489,-9.123499,-9.939808,-10.405686
36.00,2030,-11.50,32,50,35.850000,35.900000,35.950000,36.000000,34.103536,32.688632,30.348916,26.703811,21.520985,15.034354,8.097288,1.821472,-3.052999,-6.409499,-8.533569,-9.806734,-10.545183,-10.965347
36.00,2030,-12.00,31,50,35.850000,35.900000,35.950000,36.000000,33.854737,32.268038,29.669779,25.684110,20.143868,13.411699,6.448968,0.350872,-4.259540,-7.372353,-9.316784,-10.472974,-11.140416,-11.519146
36.00,2030,-12.50,30,50,35.850000,35.900000,35.950000,36.000000,33.575000,31.798661,28.921049,24.580559,18.690831,11.750000,4.809169,-1.080559,-5.421049,-8.298661,-10.075000,-11.123632,-11.726422,-12.067638
36.00,2030,-13.00,29,50,35.850000,35.900000,35.950000,36.000000,33.260884,31.275943,28.098280,23.391818,17.166679,10.058890,3.186469,-2.469196,-6.537899,-9.190288,-10.810044,-11.760033,-12.304049,-12.611329
36.00,2030,-13.50,28,50,35.850000,35.900000,35.950000,36.000000,32.908667,30.695162,27.197336,22.117624,15.577563,8.348410,1.588658,-3.812392,-7.610976,-10.049206,-11.523685,-12.383415,-12.874074,-13.150680
36.00,2030,-14.00,27,50,35.850000,35.900000,35.950000,36.000000,32.514350,30.051491,26.214538,20.758932,13.930899,6.628724,0.022602,-5.108420,-8.641578,-10.877441,-12.217614,-12.994930,-13.437207,-13.686109
36.00,2030,-14.50,26,50,35.850000,35.900000,35.950000,36.000000,32.073665,29.340080,25.146825,19.318027,12.235225,4.909852,-1.505854,-6.356391,-9.631329,-11.677033,-12.893442,-13.595646,-13.994102,-14.217997
36.00,2030,-15.00,25,50,35.850000,35.900000,35.950000,36.000000,31.582097,28.556154,23.991928,17.798606,10.500000,3.201394,-2.991928,-7.556154,-10.582097,-12.450000,-13.552686,-14.186547,-14.545352,-14.746691
36.00,2030,-15.50,24,50,35.850000,35.900000,35.950000,36.000000,31.034920,27.695131,22.748544,16.205795,8.735364,1.512309,-4.431910,-8.708200,-11.495915,-13.198312,-14.196769,-14.768542,-15.091499,-15.272502
36.00,2030,-16.00,23,50,35.850000,35.900000,35.950000,36.000000,30.427241,26.752757,21.416494,14.546127,6.951865,-0.149289,-5.823119,-9.813550,-12.374924,-13.923871,-14.827022,-15.342461,-15.633038,-15.795715
36.00,2030,-16.50,22,50,35.850000,35.900000,35.950000,36.000000,29.754065,25.725265,19.996878,12.827444,5.160161,-1.776268,-7.163841,-10.873657,-13.221314,-14.628495,-15.444676,-15.909068,-16.170415,-16.316586
36.00,2030,-17.00,21,50,35.850000,35.900000,35.950000,36.000000,29.010381,24.609539,18.492187,11.058751,3.370735,-3.362579,-8.453242,-11.890306,-14.037282,-15.313909,-16.050876,-16.469057,-16.704037,-16.835348
36.00,2030,-17.50,20,50,35.850000,35.900000,35.950000,36.000000,28.191260,23.403297,16.906380,9.250000,1.593620,-4.903297,-9.691260,-12.865533,-14.825000,-15.981739,-16.646672,-17.023065,-17.234274,-17.352210
36.00,2030,-18.00,19,50,35.850000,35.900000,35.950000,36.000000,27.291982,22.105269,15.244911,7.411838,-0.161851,-6.394624,-10.878501,-13.801542,-15.586580,-16.633506,-17.233034,-17.571669,-17.761458,-17.867362
36.00,2030,-18.50,18,50,35.850000,35.900000,35.950000,36.000000,26.308178,20.715364,13.514690,5.555320,-1.887235,-7.833846,-12.016125,-14.700641,-16.324057,-17.270628,-17.810849,-18.115395,-18.285893,-18.380975
36.00,2030,-19.00,17,50,35.850000,35.900000,35.950000,36.000000,25.235991,19.234825,11.723989,3.691597,-3.575138,-9.219263,-13.105735,-15.565186,-17.039376,-17.894423,-18.380928,-18.654720,-18.807852,-18.893203
36.00,2030,-19.50,16,50,35.850000,35.900000,35.950000,36.000000,24.072253,17.666347,9.882277,1.831619,-5.219304,-10.550093,-14.149283,-16.397532,-17.734377,-18.506106,-18.944013,-19.190076,-19.327581,-19.404185
36.00,2035,0.00,55,50,35.850000,35.900000,35.950000,36.000000,36.050000,35.950414,35.870945,35.728626,35.475001,35.026947,34.247500,32.927149,30.788223,27.561941,23.184112,18.025000,12.865888,8.488059
36.00,2035,-0.50,54,50,35.850000,35.900000,35.950000,36.000000,36.050000,35.936452,35.845897,35.683850,35.395462,34.887234,34.006843,32.526239,30.155962,26.645326,22.001880,16.700050,11.573784,7.355120
36.00,2035,-1.00,53,50,35.850000,35.900000,35.950000,36.000000,36.050000,35.920562,35.817407,35.632971,35.305243,34.729252,33.736184,32.079409,29.461340,25.659252,20.764115,15.353204,10.293632,6.251028
36.00,2035,-1.50,52,50,35.850000,35.900000,35.950000,36.000000,36.050000,35.902482,35.785011,35.575181,35.202974,34.550795,33.432277,31.582669,28.701118,24.603958,19.476105,13.992172,9.030974,5.177576
36.00,2035,-2.00,51,50,35.850000,35.900000,35.950000,36.000000,36.050000,35.881916,35.748185,35.509573,35.087128,34.349432,33.091642,31.031981,27.872508,23.480712,18.144066,12.624651,7.790639,4.135927
36.00,2035,-2.50,50,50,35.850000,35.900000,35.950000,36.000000,36.050000,35.858528,35.706339,35.435125,34.956001,34.122500,32.710585,30.423328,26.973311,22.291887,16.775000,11.258113,6.576689,3.126672
